Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
165	Schneider, Franz, 1737-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/schneider-franz-1737-1812/	1	<b>Freeman</b>	Freeman, Robert N. <em>Franz Schneider (1737-1812): A Thematic Catalogue of His Works.</em> Thematic Catalogue Series, 5. New York: Pendragon Press, 1979.	F. (n 79052821)	Authorized or variant access points.	
166	Schoeck, Othmar, 1886-1957	https://cmc.wp.musiclibraryassoc.org/thematic-index/schoeck-othmar-1886-1957/	1	<b>Vogel</b>	Vogel, Werner. <em>Thematisches Verzeichnis der Werke von Othmar Schoeck.</em> Zürich: Atlantis Verlag, 1956.	o. op. Nr. (no 97052230)	For works without opus number; use in authorized or variant access points.	
167	Schubert, Franz, 1797-1828	https://cmc.wp.musiclibraryassoc.org/thematic-index/schubert-franz-1797-1828/	1	<b>Deutsch</b>	Deutsch, Otto Erich. <em>Franz Schubert: Thematisches Verzeichnis seiner Werke in chronologischer Folge.</em> Neuausg. Kassel: Bärenreiter, 1978.	D. (n 50000561)	Authorized or variant access points.	
168	Schütz, Heinrich, 1585-1672	https://cmc.wp.musiclibraryassoc.org/thematic-index/schutz-heinrich-1585-1672/	1	<b>Bittinger</b>	Bittinger, Werner, ed. <em>Schütz-Werke-Verzeichnis (SWV).</em> Kleine Ausg. Kassel: Bärenreiter, 1960.	SWV (n 80158647)	Authorized or variant access points.	Not a thematic catalog, but a finding list. A full-scale thematic catalog will appear after the completion of the Neuen Schütz-Sesellschaft Ausgabe. Additions in: Breig, Werner. "Schützfunde und -zuschreibungen seit 1960: Auf dem Wege zur Grossen Angabe des Schütz-Werke-Verzeichnisses." <em>Schütz-Jahrbuch</em> 1979: 63-92.
169	Scriabin, Aleksandr Nikolyevich, 1872-1915	https://cmc.wp.musiclibraryassoc.org/thematic-index/scriabin-aleksandr-nikolyevich-1872-1915/	1	<b>Bosshard</b>	Bosshard, Daniel. <em>Thematische-chronologisches Verzeichnis der musikalischen Werke von Alexander Skrjabin.</em> Ardez: Ediziun Trais Giats, [2003?]	WoO, Anh. (n 80086161)	Authorized or variant access points.	For works without opus no.
170	Seixas, Carlos, 1704-1742	https://cmc.wp.musiclibraryassoc.org/thematic-index/seixas-carlos-1704-1742/	1	<b>Kastner</b>	Seixas, Carlos. <em>80 sonatas para instrumentos de tecla.</em> Edited by Macario Santiago Kastner. Portugaliae musica A, 10. Lisbon: Fundação Calouste Gulbenkian, 1965.	K. (n 79150264)	For keyboard sonatas; use in authorized or variant access points.	
171	Senfl, Ludwig, approximately 1486-1542 or 1543	https://cmc.wp.musiclibraryassoc.org/thematic-index/senfl-ludwig-approximately-1486-1542-or-1543/	1	<b>Gasch</b>	Gasch, Stefan, and Sonja Tröster. <em>Ludwig Senfl (c.1490–1543):  A Catalogue Raisonné of the Works and Sources</em>. In collaboration with Birgit Lodes. Turnhout, Belgium: Brepols, [2019].	SC	Authorized and variant access points.	<a href="https://senflonline.com/werke-und-quellen/">Index available online </a>(https://senflonline.com/werke-und-quellen/)  Retain asterisk when it appears, but omit suffixes. Examples: SC *O 1; SC P 38.
172	Sibelius, Jean, 1865-1957	https://cmc.wp.musiclibraryassoc.org/thematic-index/sibelius-jean-1865-1957/	1	<b>Dahlström</b>	Dahlström, Fabian. <em>Jean Sibelius: Thematisch-Bibliographisches Verzeichnis seiner Werke.</em> Wiesbaden: Breitkopf & Härtel, 2003.	JS (n 79068399)	Variant access points only.	
173	Soler, Antonio, 1729-1783	https://cmc.wp.musiclibraryassoc.org/thematic-index/soler-antonio-1729-1783/	1	<b>Rubio</b>	Soler, P. Antonio. <em>Sonatas para instrumentos de tecla.</em> Edited by P. Samuel Rubio. Madrid: Union Musical Española, 1957-62.	R. (n 81119126)	For keyboard sonatas; use in authorized or variant access points.	
173	Soler, Antonio, 1729-1783	https://cmc.wp.musiclibraryassoc.org/thematic-index/soler-antonio-1729-1783/	2	<b>Marvin</b>	Soler, Antonio. <em>Sonatas for Piano.</em> Edited by Frederick Marvin. London: Mills Music, 1957-82.	M.	Variant access points only.	
174	Sorkočević, Luka, 1734-1789	https://cmc.wp.musiclibraryassoc.org/thematic-index/sorkocevic-luka-1734-1789/	1	<b>Kos</b>	Kos, Koraljka. "Thematic Index: Sorkočević," In <em>The Symphony in Croatia.</em> The Symphony, 1720-1840, ed. Barry S. Brook, ser. F, vol. 8. New York: Garland, 1984.	no.	For symphonies; use in authorized or variant access points.	Thematic index on p. xxiii-xxiv. Authority record 667 instructs to use the abbreviation "S.", but "no." is used in access points.
175	Sperger, Johann Matthias, 1750-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/sperger-johann-matthias-1750-1812/	1	<b>Meier</b>	Meier, Adolf. <em>Thematisches Werkverzeichnis der Kompositionen von Johannes Sperger (1750-1812).</em>	M. (n 82149752)	Authorized or variant access points.	
176	Spohr, Louis, 1784-1859	https://cmc.wp.musiclibraryassoc.org/thematic-index/spohr-louis-1784-1859/	1	<b>Göthel</b>	Göthel, Folker. <em>Thematisch-bibliographisches Verzeichnis der Werke von Louis Spohr.</em> Tutzing : Schneider, 1981.	WoO (n 81032853)	For works without opus number; use in authorized or variant access points.	
177	Stamitz, Anton, 1750-	https://cmc.wp.musiclibraryassoc.org/thematic-index/stamitz-anton-1750/	1	<b>Sandberger</b>	Sandberger, Adolf, ed. <em>Sinfonien der Pfalzbayerischen Schule (Mannheimer Symphoniker).</em> Denkmaler der Tonkunst in Bayern, 2. Jahrg., 3. Bd. Leipzig: Breitkopf & Härtel, 1902.	S. (n 81018997)	For symphonies, use in authorized or variant access points.	
